customer_id,id,installed_at,latitude,longitude,name,notes,serial_number,type
3,1,,,,Pump A,,,pump
4,2,,,,Compressor,,,air
5,3,2025-08-22,,,Unit X,,,sensor
1,4,,,,Åtekasse,,,Gift
6,308,2025-06-27,,,"Åtekasse - 60.338921, 5.268414","60.338921, 5.268414",,Åtekasse
6,309,2025-06-27,,,"Åtekasse - 60.338757, 5.268227",Luftige,,Åtekasse
832,310,2025-07-01,,,"Åtekasse - 60.519296, 5.294053",Bak garasje,,Åtekasse
832,311,2025-07-02,,,"Gassfelle - 60.519248, 5.294050",Hjørne mellom hus og garasje,,Gassfelle
6,312,2025-07-02,,,"Gassfelle - 60.338772, 5.268395",Under trampoline,,Gassfelle
774,313,2025-07-31,,,"Åtekasse - 60.267669, 5.333976","Under trapp, bak bod.",,Åtekasse
774,314,2025-07-31,,,"Åtekasse - 60.267741, 5.334345",Under vedstabel,,Åtekasse
774,315,2025-07-31,,,"Åtekasse - 60.267776, 5.333743",På husvegg,,Åtekasse
774,316,2025-07-31,,,"Åtekasse - 60.267664, 5.333778",På husvegg,,Åtekasse
774,317,2025-07-31,,,"Åtekasse - 60.267771, 5.333520",I hekk.,,Åtekasse
807,318,2025-08-01,,,"Åtekasse - 60.385740, 5.269943",Bak blomsterpotter ved mur.,,Åtekasse
807,319,2025-08-01,,,"Åtekasse - 60.385760, 5.269993",Bak skille ved steiner,,Åtekasse
807,320,2025-08-01,,,"Åtekasse - 60.385793, 5.270040",Utsiden av gjerde ved port.,,Åtekasse
807,321,2025-08-01,,,"Åtekasse - 60.385812, 5.269977",Under terrasse ved tap,,Åtekasse
817,322,2025-08-01,,,"Åtekasse - 60.388351, 5.290631",Under trapp ved bod,,Åtekasse
817,323,2025-08-01,,,"Åtekasse - 60.388501, 5.290540",Natursteinsmur foran hus,,Åtekasse
817,324,2025-08-01,,,"Åtekasse - 60.388340, 5.290402",Bak bod,,Åtekasse
809,325,2025-08-01,,,"Åtekasse - 60.386241, 5.293493",Langs husvegg,,Åtekasse
809,326,2025-08-01,,,"Åtekasse - 60.386313, 5.293443",Langs husvegg,,Åtekasse
